season,week,game_type,home_team,away_team,home_score,away_score,result
2026,1,REG,SEA,NE,,,
2026,1,REG,LA,SF,,,
2026,1,REG,CAR,CHI,,,
2026,1,REG,CIN,TB,,,
2026,1,REG,DET,NO,,,
2026,1,REG,HOU,BUF,,,
2026,1,REG,IND,BAL,,,
2026,1,REG,JAX,CLE,,,
2026,1,REG,PIT,ATL,,,
2026,1,REG,TEN,NYJ,,,
2026,1,REG,LAC,ARI,,,
2026,1,REG,LV,MIA,,,
2026,1,REG,MIN,GB,,,
2026,1,REG,PHI,WAS,,,
2026,1,REG,NYG,DAL,,,
2026,1,REG,KC,DEN,,,
2026,2,REG,BUF,DET,,,
2026,2,REG,ATL,CAR,,,
2026,2,REG,BAL,NO,,,
2026,2,REG,CHI,MIN,,,
2026,2,REG,HOU,CIN,,,
2026,2,REG,NE,PIT,,,
2026,2,REG,NYJ,GB,,,
2026,2,REG,TB,CLE,,,
2026,2,REG,TEN,PHI,,,
2026,2,REG,DEN,JAX,,,
2026,2,REG,LAC,LV,,,
2026,2,REG,ARI,SEA,,,
2026,2,REG,DAL,WAS,,,
2026,2,REG,SF,MIA,,,
2026,2,REG,KC,IND,,,
2026,2,REG,LA,NYG,,,
2026,3,REG,GB,ATL,,,
2026,3,REG,BUF,LAC,,,
2026,3,REG,CLE,CAR,,,
2026,3,REG,DET,NYJ,,,
2026,3,REG,IND,HOU,,,
2026,3,REG,JAX,NE,,,
2026,3,REG,MIA,KC,,,
2026,3,REG,NYG,TEN,,,
2026,3,REG,PIT,CIN,,,
2026,3,REG,WAS,SEA,,,
2026,3,REG,SF,ARI,,,
2026,3,REG,TB,MIN,,,
2026,3,REG,DAL,BAL,,,
2026,3,REG,NO,LV,,,
2026,3,REG,DEN,LA,,,
2026,3,REG,CHI,PHI,,,
2026,4,REG,CLE,PIT,,,
2026,4,REG,WAS,IND,,,
2026,4,REG,BAL,TEN,,,
2026,4,REG,BUF,NE,,,
2026,4,REG,CHI,NYJ,,,
2026,4,REG,CIN,JAX,,,
2026,4,REG,HOU,DAL,,,
2026,4,REG,NYG,ARI,,,
2026,4,REG,PHI,LA,,,
2026,4,REG,TB,GB,,,
2026,4,REG,MIN,MIA,,,
2026,4,REG,LV,KC,,,
2026,4,REG,SEA,LAC,,,
2026,4,REG,SF,DEN,,,
2026,4,REG,CAR,DET,,,
2026,4,REG,NO,ATL,,,
2026,5,REG,DAL,TB,,,
2026,5,REG,JAX,PHI,,,
2026,5,REG,MIA,CIN,,,
2026,5,REG,NE,LV,,,
2026,5,REG,NO,MIN,,,
2026,5,REG,NYJ,CLE,,,
2026,5,REG,PIT,IND,,,
2026,5,REG,TEN,HOU,,,
2026,5,REG,WAS,NYG,,,
2026,5,REG,LAC,DEN,,,
2026,5,REG,ARI,DET,,,
2026,5,REG,GB,CHI,,,
2026,5,REG,SEA,SF,,,
2026,5,REG,ATL,BAL,,,
2026,5,REG,LA,BUF,,,
2026,6,REG,DEN,SEA,,,
2026,6,REG,JAX,HOU,,,
2026,6,REG,ATL,CHI,,,
2026,6,REG,CLE,BAL,,,
2026,6,REG,IND,TEN,,,
2026,6,REG,NE,NYJ,,,
2026,6,REG,NYG,NO,,,
2026,6,REG,PHI,CAR,,,
2026,6,REG,TB,PIT,,,
2026,6,REG,LA,ARI,,,
2026,6,REG,KC,LAC,,,
2026,6,REG,LV,BUF,,,
2026,6,REG,GB,DAL,,,
2026,6,REG,SF,WAS,,,
2026,7,REG,CHI,NE,,,
2026,7,REG,NO,PIT,,,
2026,7,REG,ATL,SF,,,
2026,7,REG,BAL,CIN,,,
2026,7,REG,CAR,TB,,,
2026,7,REG,HOU,NYG,,,
2026,7,REG,MIN,IND,,,
2026,7,REG,NYJ,MIA,,,
2026,7,REG,TEN,CLE,,,
2026,7,REG,ARI,DEN,,,
2026,7,REG,DET,GB,,,
2026,7,REG,LV,LA,,,
2026,7,REG,SEA,KC,,,
2026,7,REG,PHI,DAL,,,
2026,8,REG,GB,CAR,,,
2026,8,REG,BUF,BAL,,,
2026,8,REG,CIN,TEN,,,
2026,8,REG,DAL,ARI,,,
2026,8,REG,DET,MIN,,,
2026,8,REG,JAX,IND,,,
2026,8,REG,NYJ,LV,,,
2026,8,REG,PIT,CLE,,,
2026,8,REG,TB,ATL,,,
2026,8,REG,LA,LAC,,,
2026,8,REG,DEN,KC,,,
2026,8,REG,MIA,NE,,,
2026,8,REG,WAS,PHI,,,
2026,8,REG,SEA,CHI,,,
2026,9,REG,BAL,JAX,,,
2026,9,REG,ATL,CIN,,,
2026,9,REG,CAR,DEN,,,
2026,9,REG,IND,DAL,,,
2026,9,REG,KC,NYJ,,,
2026,9,REG,MIA,DET,,,
2026,9,REG,NO,CLE,,,
2026,9,REG,PHI,NYG,,,
2026,9,REG,WAS,LA,,,
2026,9,REG,LAC,HOU,,,
2026,9,REG,SF,LV,,,
2026,9,REG,NE,GB,,,
2026,9,REG,SEA,ARI,,,
2026,9,REG,CHI,TB,,,
2026,9,REG,MIN,BUF,,,
2026,10,REG,NYG,WAS,,,
2026,10,REG,DET,NE,,,
2026,10,REG,ATL,KC,,,
2026,10,REG,CLE,HOU,,,
2026,10,REG,GB,MIN,,,
2026,10,REG,IND,MIA,,,
2026,10,REG,NO,CAR,,,
2026,10,REG,NYJ,BUF,,,
2026,10,REG,TEN,JAX,,,
2026,10,REG,ARI,LA,,,
2026,10,REG,LV,SEA,,,
2026,10,REG,DAL,SF,,,
2026,10,REG,CIN,PIT,,,
2026,10,REG,BAL,LAC,,,
2026,11,REG,HOU,IND,,,
2026,11,REG,BUF,MIA,,,
2026,11,REG,CAR,BAL,,,
2026,11,REG,CHI,NO,,,
2026,11,REG,DAL,TEN,,,
2026,11,REG,DET,TB,,,
2026,11,REG,KC,ARI,,,
2026,11,REG,NYG,JAX,,,
2026,11,REG,LAC,NYJ,,,
2026,11,REG,DEN,LV,,,
2026,11,REG,PHI,PIT,,,
2026,11,REG,SF,MIN,,,
2026,11,REG,WAS,CIN,,,
2026,12,REG,LA,GB,,,
2026,12,REG,DET,CHI,,,
2026,12,REG,DAL,PHI,,,
2026,12,REG,BUF,KC,,,
2026,12,REG,PIT,DEN,,,
2026,12,REG,CIN,NO,,,
2026,12,REG,CLE,LV,,,
2026,12,REG,HOU,BAL,,,
