season,week,game_type,home_team,away_team,home_score,away_score,result,elo_local_pre,elo_visita_pre,prob_local,elo_local_post,elo_visita_post
2005,1,REG,NE,LV,30.0,20.0,10.0,1500.0,1500.0,0.5925,1508.15,1491.85
2005,1,REG,BUF,HOU,22.0,7.0,15.0,1500.0,1500.0,0.5925,1508.15,1491.85
2005,1,REG,CAR,NO,20.0,23.0,-3.0,1500.0,1500.0,0.5925,1488.15,1511.85
2005,1,REG,CLE,CIN,13.0,27.0,-14.0,1500.0,1500.0,0.5925,1488.15,1511.85
2005,1,REG,JAX,SEA,26.0,14.0,12.0,1500.0,1500.0,0.5925,1508.15,1491.85
2005,1,REG,KC,NYJ,27.0,7.0,20.0,1500.0,1500.0,0.5925,1508.15,1491.85
2005,1,REG,MIA,DEN,34.0,10.0,24.0,1500.0,1500.0,0.5925,1508.15,1491.85
2005,1,REG,MIN,TB,13.0,24.0,-11.0,1500.0,1500.0,0.5925,1488.15,1511.85
2005,1,REG,PIT,TEN,34.0,7.0,27.0,1500.0,1500.0,0.5925,1508.15,1491.85
2005,1,REG,WAS,CHI,9.0,7.0,2.0,1500.0,1500.0,0.5925,1508.15,1491.85
2005,1,REG,DET,GB,17.0,3.0,14.0,1500.0,1500.0,0.5925,1508.15,1491.85
2005,1,REG,NYG,ARI,42.0,19.0,23.0,1500.0,1500.0,0.5925,1508.15,1491.85
2005,1,REG,LAC,DAL,24.0,28.0,-4.0,1500.0,1500.0,0.5925,1488.15,1511.85
2005,1,REG,SF,LA,28.0,25.0,3.0,1500.0,1500.0,0.5925,1508.15,1491.85
2005,1,REG,BAL,IND,7.0,24.0,-17.0,1500.0,1500.0,0.5925,1488.15,1511.85
2005,1,REG,ATL,PHI,14.0,10.0,4.0,1500.0,1500.0,0.5925,1508.15,1491.85
2005,2,REG,CAR,NE,27.0,17.0,10.0,1488.15,1508.15,0.5644,1496.86,1499.44
2005,2,REG,CHI,DET,38.0,6.0,32.0,1491.85,1508.15,0.5696,1500.46,1499.54
2005,2,REG,CIN,MIN,37.0,8.0,29.0,1511.85,1488.15,0.6249,1519.35,1480.65
2005,2,REG,HOU,PIT,7.0,27.0,-20.0,1491.85,1508.15,0.5696,1480.46,1519.54
2005,2,REG,IND,JAX,10.0,3.0,7.0,1511.85,1508.15,0.5976,1519.9,1500.1
2005,2,REG,PHI,SF,42.0,3.0,39.0,1491.85,1508.15,0.5696,1500.46,1499.54
2005,2,REG,TB,BUF,19.0,3.0,16.0,1511.85,1508.15,0.5976,1519.9,1500.1
2005,2,REG,TEN,BAL,25.0,10.0,15.0,1491.85,1488.15,0.5976,1499.9,1480.1
2005,2,REG,ARI,LA,12.0,17.0,-5.0,1491.85,1491.85,0.5925,1480.0,1503.7
2005,2,REG,SEA,ATL,21.0,18.0,3.0,1491.85,1508.15,0.5696,1500.46,1499.54
2005,2,REG,DEN,LAC,20.0,17.0,3.0,1491.85,1488.15,0.5976,1499.9,1480.1
2005,2,REG,GB,CLE,24.0,26.0,-2.0,1491.85,1488.15,0.5976,1479.9,1500.1
2005,2,REG,NYJ,MIA,17.0,7.0,10.0,1491.85,1508.15,0.5696,1500.46,1499.54
2005,2,REG,LV,KC,17.0,23.0,-6.0,1491.85,1508.15,0.5696,1480.46,1519.54
2005,2,REG,DAL,WAS,13.0,14.0,-1.0,1511.85,1508.15,0.5976,1499.9,1520.1
2005,2,REG,NO,NYG,10.0,27.0,-17.0,1511.85,1508.15,0.5976,1499.9,1520.1
2005,3,REG,BUF,ATL,16.0,24.0,-8.0,1500.1,1499.54,0.5932,1488.24,1511.41
2005,3,REG,CHI,CIN,7.0,24.0,-17.0,1500.46,1519.35,0.566,1489.14,1530.67
2005,3,REG,GB,TB,16.0,17.0,-1.0,1479.9,1519.9,0.5359,1469.18,1530.62
2005,3,REG,IND,CLE,13.0,6.0,7.0,1519.9,1500.1,0.6197,1527.5,1492.5
2005,3,REG,MIA,CAR,27.0,24.0,3.0,1499.54,1496.86,0.5962,1507.62,1488.79
2005,3,REG,MIN,NO,33.0,16.0,17.0,1480.65,1499.9,0.5655,1489.34,1491.21
2005,3,REG,NYJ,JAX,20.0,26.0,-6.0,1500.46,1500.1,0.593,1488.6,1511.96
2005,3,REG,PHI,LV,23.0,20.0,3.0,1500.46,1480.46,0.6199,1508.06,1472.86
2005,3,REG,LA,TEN,31.0,27.0,4.0,1503.7,1499.9,0.5977,1511.74,1491.85
2005,3,REG,SEA,ARI,37.0,12.0,25.0,1500.46,1480.0,0.6206,1508.05,1472.41
2005,3,REG,SF,DAL,31.0,34.0,-3.0,1499.54,1499.9,0.592,1487.7,1511.74
2005,3,REG,PIT,NE,20.0,23.0,-3.0,1519.54,1499.44,0.6201,1507.14,1511.84
2005,3,REG,LAC,NYG,45.0,23.0,22.0,1480.1,1520.1,0.5359,1489.38,1510.82
2005,3,REG,DEN,KC,30.0,10.0,20.0,1499.9,1519.54,0.5649,1508.6,1510.84
2005,4,REG,CIN,HOU,16.0,10.0,6.0,1530.67,1480.46,0.66,1537.47,1473.66
2005,4,REG,JAX,DEN,7.0,20.0,-13.0,1511.96,1508.6,0.5971,1500.02,1520.54
2005,4,REG,NE,LAC,17.0,41.0,-24.0,1511.84,1489.38,0.6233,1499.38,1501.85
2005,4,REG,NO,BUF,19.0,7.0,12.0,1491.21,1488.24,0.5966,1499.27,1480.17
2005,4,REG,NYG,LA,44.0,24.0,20.0,1510.82,1511.74,0.5912,1519.0,1503.57
2005,4,REG,TB,DET,17.0,13.0,4.0,1530.62,1499.54,0.6348,1537.92,1492.24
2005,4,REG,TEN,IND,10.0,31.0,-21.0,1491.85,1527.5,0.5421,1481.01,1538.35
2005,4,REG,WAS,SEA,20.0,17.0,3.0,1520.1,1508.05,0.6091,1527.92,1500.23
