game_id,season,game_type,week,away_team,away_score,home_team,home_score,result
2005_01_OAK_NE,2005,REG,1,OAK,20.0,NE,30.0,10.0
2005_01_HOU_BUF,2005,REG,1,HOU,7.0,BUF,22.0,15.0
2005_01_NO_CAR,2005,REG,1,NO,23.0,CAR,20.0,-3.0
2005_01_CIN_CLE,2005,REG,1,CIN,27.0,CLE,13.0,-14.0
2005_01_SEA_JAX,2005,REG,1,SEA,14.0,JAX,26.0,12.0
2005_01_NYJ_KC,2005,REG,1,NYJ,7.0,KC,27.0,20.0
2005_01_DEN_MIA,2005,REG,1,DEN,10.0,MIA,34.0,24.0
2005_01_TB_MIN,2005,REG,1,TB,24.0,MIN,13.0,-11.0
2005_01_TEN_PIT,2005,REG,1,TEN,7.0,PIT,34.0,27.0
2005_01_CHI_WAS,2005,REG,1,CHI,7.0,WAS,9.0,2.0
2005_01_GB_DET,2005,REG,1,GB,3.0,DET,17.0,14.0
2005_01_ARI_NYG,2005,REG,1,ARI,19.0,NYG,42.0,23.0
2005_01_DAL_SD,2005,REG,1,DAL,28.0,SD,24.0,-4.0
2005_01_STL_SF,2005,REG,1,STL,25.0,SF,28.0,3.0
2005_01_IND_BAL,2005,REG,1,IND,24.0,BAL,7.0,-17.0
2005_01_PHI_ATL,2005,REG,1,PHI,10.0,ATL,14.0,4.0
2005_02_NE_CAR,2005,REG,2,NE,17.0,CAR,27.0,10.0
2005_02_DET_CHI,2005,REG,2,DET,6.0,CHI,38.0,32.0
2005_02_MIN_CIN,2005,REG,2,MIN,8.0,CIN,37.0,29.0
2005_02_PIT_HOU,2005,REG,2,PIT,27.0,HOU,7.0,-20.0
2005_02_JAX_IND,2005,REG,2,JAX,3.0,IND,10.0,7.0
2005_02_SF_PHI,2005,REG,2,SF,3.0,PHI,42.0,39.0
2005_02_BUF_TB,2005,REG,2,BUF,3.0,TB,19.0,16.0
2005_02_BAL_TEN,2005,REG,2,BAL,10.0,TEN,25.0,15.0
2005_02_STL_ARI,2005,REG,2,STL,17.0,ARI,12.0,-5.0
2005_02_ATL_SEA,2005,REG,2,ATL,18.0,SEA,21.0,3.0
2005_02_SD_DEN,2005,REG,2,SD,17.0,DEN,20.0,3.0
2005_02_CLE_GB,2005,REG,2,CLE,26.0,GB,24.0,-2.0
2005_02_MIA_NYJ,2005,REG,2,MIA,7.0,NYJ,17.0,10.0
2005_02_KC_OAK,2005,REG,2,KC,23.0,OAK,17.0,-6.0
2005_02_WAS_DAL,2005,REG,2,WAS,14.0,DAL,13.0,-1.0
2005_02_NYG_NO,2005,REG,2,NYG,27.0,NO,10.0,-17.0
2005_03_ATL_BUF,2005,REG,3,ATL,24.0,BUF,16.0,-8.0
2005_03_CIN_CHI,2005,REG,3,CIN,24.0,CHI,7.0,-17.0
2005_03_TB_GB,2005,REG,3,TB,17.0,GB,16.0,-1.0
2005_03_CLE_IND,2005,REG,3,CLE,6.0,IND,13.0,7.0
2005_03_CAR_MIA,2005,REG,3,CAR,24.0,MIA,27.0,3.0
2005_03_NO_MIN,2005,REG,3,NO,16.0,MIN,33.0,17.0
2005_03_JAX_NYJ,2005,REG,3,JAX,26.0,NYJ,20.0,-6.0
2005_03_OAK_PHI,2005,REG,3,OAK,20.0,PHI,23.0,3.0
2005_03_TEN_STL,2005,REG,3,TEN,27.0,STL,31.0,4.0
2005_03_ARI_SEA,2005,REG,3,ARI,12.0,SEA,37.0,25.0
2005_03_DAL_SF,2005,REG,3,DAL,34.0,SF,31.0,-3.0
2005_03_NE_PIT,2005,REG,3,NE,23.0,PIT,20.0,-3.0
2005_03_NYG_SD,2005,REG,3,NYG,23.0,SD,45.0,22.0
2005_03_KC_DEN,2005,REG,3,KC,10.0,DEN,30.0,20.0
2005_04_HOU_CIN,2005,REG,4,HOU,10.0,CIN,16.0,6.0
2005_04_DEN_JAX,2005,REG,4,DEN,20.0,JAX,7.0,-13.0
2005_04_SD_NE,2005,REG,4,SD,41.0,NE,17.0,-24.0
2005_04_BUF_NO,2005,REG,4,BUF,7.0,NO,19.0,12.0
2005_04_STL_NYG,2005,REG,4,STL,24.0,NYG,44.0,20.0
2005_04_DET_TB,2005,REG,4,DET,13.0,TB,17.0,4.0
2005_04_IND_TEN,2005,REG,4,IND,31.0,TEN,10.0,-21.0
2005_04_SEA_WAS,2005,REG,4,SEA,17.0,WAS,20.0,3.0
2005_04_NYJ_BAL,2005,REG,4,NYJ,3.0,BAL,13.0,10.0
2005_04_MIN_ATL,2005,REG,4,MIN,10.0,ATL,30.0,20.0
2005_04_PHI_KC,2005,REG,4,PHI,37.0,KC,31.0,-6.0
2005_04_DAL_OAK,2005,REG,4,DAL,13.0,OAK,19.0,6.0
2005_04_SF_ARI,2005,REG,4,SF,14.0,ARI,31.0,17.0
2005_04_GB_CAR,2005,REG,4,GB,29.0,CAR,32.0,3.0
2005_05_NE_ATL,2005,REG,5,NE,31.0,ATL,28.0,-3.0
2005_05_MIA_BUF,2005,REG,5,MIA,14.0,BUF,20.0,6.0
2005_05_CHI_CLE,2005,REG,5,CHI,10.0,CLE,20.0,10.0
2005_05_BAL_DET,2005,REG,5,BAL,17.0,DET,35.0,18.0
2005_05_NO_GB,2005,REG,5,NO,3.0,GB,52.0,49.0
2005_05_TEN_HOU,2005,REG,5,TEN,34.0,HOU,20.0,-14.0
2005_05_TB_NYJ,2005,REG,5,TB,12.0,NYJ,14.0,2.0
2005_05_SEA_STL,2005,REG,5,SEA,37.0,STL,31.0,-6.0
2005_05_IND_SF,2005,REG,5,IND,28.0,SF,3.0,-25.0
2005_05_CAR_ARI,2005,REG,5,CAR,24.0,ARI,20.0,-4.0
2005_05_PHI_DAL,2005,REG,5,PHI,10.0,DAL,33.0,23.0
2005_05_WAS_DEN,2005,REG,5,WAS,19.0,DEN,21.0,2.0
2005_05_CIN_JAX,2005,REG,5,CIN,20.0,JAX,23.0,3.0
2005_05_PIT_SD,2005,REG,5,PIT,24.0,SD,22.0,-2.0
2005_06_CLE_BAL,2005,REG,6,CLE,3.0,BAL,16.0,13.0
2005_06_MIN_CHI,2005,REG,6,MIN,3.0,CHI,28.0,25.0
2005_06_NYG_DAL,2005,REG,6,NYG,13.0,DAL,16.0,3.0
2005_06_CAR_DET,2005,REG,6,CAR,21.0,DET,20.0,-1.0
2005_06_WAS_KC,2005,REG,6,WAS,21.0,KC,28.0,7.0
2005_06_ATL_NO,2005,REG,6,ATL,34.0,NO,31.0,-3.0
2005_06_JAX_PIT,2005,REG,6,JAX,23.0,PIT,17.0,-6.0
2005_06_MIA_TB,2005,REG,6,MIA,13.0,TB,27.0,14.0
2005_06_CIN_TEN,2005,REG,6,CIN,31.0,TEN,23.0,-8.0
2005_06_NYJ_BUF,2005,REG,6,NYJ,17.0,BUF,27.0,10.0
2005_06_NE_DEN,2005,REG,6,NE,20.0,DEN,28.0,8.0
2005_06_SD_OAK,2005,REG,6,SD,27.0,OAK,14.0,-13.0
2005_06_HOU_SEA,2005,REG,6,HOU,10.0,SEA,42.0,32.0
2005_06_STL_IND,2005,REG,6,STL,28.0,IND,45.0,17.0
2005_07_KC_MIA,2005,REG,7,KC,30.0,MIA,20.0,-10.0
2005_07_PIT_CIN,2005,REG,7,PIT,27.0,CIN,13.0,-14.0
2005_07_DET_CLE,2005,REG,7,DET,13.0,CLE,10.0,-3.0
2005_07_IND_HOU,2005,REG,7,IND,38.0,HOU,20.0,-18.0
2005_07_GB_MIN,2005,REG,7,GB,20.0,MIN,23.0,3.0
2005_07_SD_PHI,2005,REG,7,SD,17.0,PHI,20.0,3.0
2005_07_NO_STL,2005,REG,7,NO,17.0,STL,28.0,11.0
2005_07_SF_WAS,2005,REG,7,SF,17.0,WAS,52.0,35.0
2005_07_DAL_SEA,2005,REG,7,DAL,10.0,SEA,13.0,3.0
2005_07_TEN_ARI,2005,REG,7,TEN,10.0,ARI,20.0,10.0
2005_07_BAL_CHI,2005,REG,7,BAL,6.0,CHI,10.0,4.0
2005_07_DEN_NYG,2005,REG,7,DEN,23.0,NYG,24.0,1.0
2005_07_BUF_OAK,2005,REG,7,BUF,17.0,OAK,38.0,21.0
2005_07_NYJ_ATL,2005,REG,7,NYJ,14.0,ATL,27.0,13.0
2005_08_MIN_CAR,2005,REG,8,MIN,13.0,CAR,38.0,25.0
2005_08_GB_CIN,2005,REG,8,GB,14.0,CIN,21.0,7.0
2005_08_ARI_DAL,2005,REG,8,ARI,13.0,DAL,34.0,21.0
2005_08_CHI_DET,2005,REG,8,CHI,19.0,DET,13.0,-6.0
2005_08_CLE_HOU,2005,REG,8,CLE,16.0,HOU,19.0,3.0
2005_08_WAS_NYG,2005,REG,8,WAS,0.0,NYG,36.0,36.0
2005_08_JAX_STL,2005,REG,8,JAX,21.0,STL,24.0,3.0
2005_08_OAK_TEN,2005,REG,8,OAK,34.0,TEN,25.0,-9.0
2005_08_MIA_NO,2005,REG,8,MIA,21.0,NO,6.0,-15.0
2005_08_KC_SD,2005,REG,8,KC,20.0,SD,28.0,8.0
2005_08_PHI_DEN,2005,REG,8,PHI,21.0,DEN,49.0,28.0
2005_08_TB_SF,2005,REG,8,TB,10.0,SF,15.0,5.0
2005_08_BUF_NE,2005,REG,8,BUF,16.0,NE,21.0,5.0
2005_08_BAL_PIT,2005,REG,8,BAL,19.0,PIT,20.0,1.0
2005_09_CIN_BAL,2005,REG,9,CIN,21.0,BAL,9.0,-12.0
2005_09_TEN_CLE,2005,REG,9,TEN,14.0,CLE,20.0,6.0
2005_09_HOU_JAX,2005,REG,9,HOU,14.0,JAX,21.0,7.0
2005_09_OAK_KC,2005,REG,9,OAK,23.0,KC,27.0,4.0
2005_09_ATL_MIA,2005,REG,9,ATL,17.0,MIA,10.0,-7.0
2005_09_DET_MIN,2005,REG,9,DET,14.0,MIN,27.0,13.0
2005_09_SD_NYJ,2005,REG,9,SD,31.0,NYJ,26.0,-5.0
2005_09_CAR_TB,2005,REG,9,CAR,34.0,TB,14.0,-20.0
2005_09_SEA_ARI,2005,REG,9,SEA,33.0,ARI,19.0,-14.0
2005_09_CHI_NO,2005,REG,9,CHI,20.0,NO,17.0,-3.0
2005_09_NYG_SF,2005,REG,9,NYG,24.0,SF,6.0,-18.0
2005_09_PIT_GB,2005,REG,9,PIT,20.0,GB,10.0,-10.0
2005_09_PHI_WAS,2005,REG,9,PHI,10.0,WAS,17.0,7.0
2005_09_IND_NE,2005,REG,9,IND,40.0,NE,21.0,-19.0
2005_10_KC_BUF,2005,REG,10,KC,3.0,BUF,14.0,11.0
2005_10_SF_CHI,2005,REG,10,SF,9.0,CHI,17.0,8.0
2005_10_ARI_DET,2005,REG,10,ARI,21.0,DET,29.0,8.0
2005_10_HOU_IND,2005,REG,10,HOU,17.0,IND,31.0,14.0
2005_10_BAL_JAX,2005,REG,10,BAL,3.0,JAX,30.0,27.0
2005_10_NE_MIA,2005,REG,10,NE,23.0,MIA,16.0,-7.0
2005_10_MIN_NYG,2005,REG,10,MIN,24.0,NYG,21.0,-3.0
2005_10_NYJ_CAR,2005,REG,10,NYJ,3.0,CAR,30.0,27.0
2005_10_DEN_OAK,2005,REG,10,DEN,31.0,OAK,17.0,-14.0
2005_10_GB_ATL,2005,REG,10,GB,33.0,ATL,25.0,-8.0
2005_10_STL_SEA,2005,REG,10,STL,16.0,SEA,31.0,15.0
2005_10_WAS_TB,2005,REG,10,WAS,35.0,TB,36.0,1.0
2005_10_CLE_PIT,2005,REG,10,CLE,21.0,PIT,34.0,13.0
2005_10_DAL_PHI,2005,REG,10,DAL,21.0,PHI,20.0,-1.0
2005_11_TB_ATL,2005,REG,11,TB,30.0,ATL,27.0,-3.0
2005_11_PIT_BAL,2005,REG,11,PIT,13.0,BAL,16.0,3.0
2005_11_CAR_CHI,2005,REG,11,CAR,3.0,CHI,13.0,10.0
2005_11_MIA_CLE,2005,REG,11,MIA,0.0,CLE,22.0,22.0
2005_11_DET_DAL,2005,REG,11,DET,7.0,DAL,20.0,13.0
2005_11_NO_NE,2005,REG,11,NO,17.0,NE,24.0,7.0
2005_11_PHI_NYG,2005,REG,11,PHI,17.0,NYG,27.0,10.0
2005_11_ARI_STL,2005,REG,11,ARI,38.0,STL,28.0,-10.0
2005_11_JAX_TEN,2005,REG,11,JAX,31.0,TEN,28.0,-3.0
2005_11_OAK_WAS,2005,REG,11,OAK,16.0,WAS,13.0,-3.0
2005_11_SEA_SF,2005,REG,11,SEA,27.0,SF,25.0,-2.0
2005_11_IND_CIN,2005,REG,11,IND,45.0,CIN,37.0,-8.0
2005_11_NYJ_DEN,2005,REG,11,NYJ,0.0,DEN,27.0,27.0
2005_11_BUF_SD,2005,REG,11,BUF,10.0,SD,48.0,38.0
2005_11_KC_HOU,2005,REG,11,KC,45.0,HOU,17.0,-28.0
2005_11_MIN_GB,2005,REG,11,MIN,20.0,GB,17.0,-3.0
2005_12_ATL_DET,2005,REG,12,ATL,27.0,DET,7.0,-20.0
2005_12_DEN_DAL,2005,REG,12,DEN,24.0,DAL,21.0,-3.0
2005_12_CAR_BUF,2005,REG,12,CAR,13.0,BUF,9.0,-4.0
2005_12_BAL_CIN,2005,REG,12,BAL,29.0,CIN,42.0,13.0
2005_12_STL_HOU,2005,REG,12,STL,33.0,HOU,27.0,-6.0
2005_12_NE_KC,2005,REG,12,NE,16.0,KC,26.0,10.0
2005_12_CLE_MIN,2005,REG,12,CLE,12.0,MIN,24.0,12.0
2005_12_CHI_TB,2005,REG,12,CHI,13.0,TB,10.0,-3.0
2005_12_SF_TEN,2005,REG,12,SF,22.0,TEN,33.0,11.0
2005_12_SD_WAS,2005,REG,12,SD,23.0,WAS,17.0,-6.0
2005_12_JAX_ARI,2005,REG,12,JAX,24.0,ARI,17.0,-7.0
2005_12_MIA_OAK,2005,REG,12,MIA,33.0,OAK,21.0,-12.0
2005_12_GB_PHI,2005,REG,12,GB,14.0,PHI,19.0,5.0
2005_12_NYG_SEA,2005,REG,12,NYG,21.0,SEA,24.0,3.0
2005_12_NO_NYJ,2005,REG,12,NO,21.0,NYJ,19.0,-2.0
2005_12_PIT_IND,2005,REG,12,PIT,7.0,IND,26.0,19.0
2005_13_HOU_BAL,2005,REG,13,HOU,15.0,BAL,16.0,1.0
2005_13_ATL_CAR,2005,REG,13,ATL,6.0,CAR,24.0,18.0
2005_13_GB_CHI,2005,REG,13,GB,7.0,CHI,19.0,12.0
2005_13_JAX_CLE,2005,REG,13,JAX,20.0,CLE,14.0,-6.0
2005_13_MIN_DET,2005,REG,13,MIN,21.0,DET,16.0,-5.0
