season,week,home_team,away_team,prob_local,prob_visita
2026,1,SEA,NE,0.6575,0.3425
2026,1,LA,SF,0.6142,0.3858
2026,1,CAR,CHI,0.5205,0.4795
2026,1,CIN,TB,0.5796,0.4204
2026,1,DET,NO,0.7069,0.2931
2026,1,HOU,BUF,0.5658,0.4342
2026,1,IND,BAL,0.5307,0.4693
2026,1,JAX,CLE,0.6881,0.3119
2026,1,PIT,ATL,0.6386,0.3614
2026,1,TEN,NYJ,0.5774,0.4226
2026,1,LAC,ARI,0.7208,0.2792
2026,1,LV,MIA,0.4969,0.5031
2026,1,MIN,GB,0.6136,0.3864
2026,1,PHI,WAS,0.6994,0.3006
2026,1,NYG,DAL,0.5036,0.4964
2026,1,KC,DEN,0.528,0.472
2026,2,BUF,DET,0.6265,0.3735
2026,2,ATL,CAR,0.6322,0.3678
2026,2,BAL,NO,0.684,0.316
2026,2,CHI,MIN,0.5539,0.4461
2026,2,HOU,CIN,0.6802,0.3198
2026,2,NE,PIT,0.6219,0.3781
2026,2,NYJ,GB,0.4503,0.5497
2026,2,TB,CLE,0.6546,0.3454
2026,2,TEN,PHI,0.3791,0.6209
2026,2,DEN,JAX,0.6488,0.3512
2026,2,LAC,LV,0.7309,0.2691
2026,2,ARI,SEA,0.3609,0.6391
2026,2,DAL,WAS,0.6105,0.3895
2026,2,SF,MIA,0.6689,0.3311
2026,2,KC,IND,0.6386,0.3614
2026,2,LA,NYG,0.752,0.248
2026,3,GB,ATL,0.6384,0.3616
2026,3,BUF,LAC,0.6515,0.3485
2026,3,CLE,CAR,0.5783,0.4217
2026,3,DET,NYJ,0.7478,0.2522
2026,3,IND,HOU,0.4953,0.5047
2026,3,JAX,NE,0.5616,0.4384
2026,3,MIA,KC,0.5476,0.4524
2026,3,NYG,TEN,0.6194,0.3806
2026,3,PIT,CIN,0.6417,0.3583
2026,3,WAS,SEA,0.4338,0.5662
2026,3,SF,ARI,0.7387,0.2613
2026,3,TB,MIN,0.5328,0.4672
2026,3,DAL,BAL,0.5448,0.4552
2026,3,NO,LV,0.646,0.354
2026,3,DEN,LA,0.5985,0.4015
2026,3,CHI,PHI,0.5182,0.4818
2026,4,CLE,PIT,0.4884,0.5116
2026,4,WAS,IND,0.588,0.412
2026,4,BAL,TEN,0.7391,0.2609
2026,4,BUF,NE,0.6301,0.3699
2026,4,CHI,NYJ,0.7065,0.2935
2026,4,CIN,JAX,0.5422,0.4578
2026,4,HOU,DAL,0.6705,0.3295
2026,4,NYG,ARI,0.5975,0.4025
2026,4,PHI,LA,0.5972,0.4028
2026,4,TB,GB,0.5547,0.4453
2026,4,MIN,MIA,0.6616,0.3384
2026,4,LV,KC,0.4513,0.5487
2026,4,SEA,LAC,0.6782,0.3218
2026,4,SF,DEN,0.5642,0.4358
2026,4,CAR,DET,0.4683,0.5317
2026,4,NO,ATL,0.5502,0.4498
2026,5,DAL,TB,0.5904,0.4096
2026,5,JAX,PHI,0.5349,0.4651
2026,5,MIA,CIN,0.5924,0.4076
2026,5,NE,LV,0.7489,0.2511
2026,5,NO,MIN,0.4798,0.5202
2026,5,NYJ,CLE,0.5549,0.4451
2026,5,PIT,IND,0.6445,0.3555
2026,5,TEN,HOU,0.393,0.607
2026,5,WAS,NYG,0.6589,0.3411
2026,5,LAC,DEN,0.5418,0.4582
2026,5,ARI,DET,0.4234,0.5766
2026,5,GB,CHI,0.6091,0.3909
2026,5,SEA,SF,0.6581,0.3419
2026,5,ATL,BAL,0.5371,0.4629
2026,5,LA,BUF,0.5754,0.4246
2026,6,DEN,SEA,0.5521,0.4479
2026,6,JAX,HOU,0.5495,0.4505
2026,6,ATL,CHI,0.562,0.438
2026,6,CLE,BAL,0.4808,0.5192
2026,6,IND,TEN,0.6878,0.3122
2026,6,NE,NYJ,0.7449,0.2551
2026,6,NYG,NO,0.5544,0.4456
2026,6,PHI,CAR,0.7246,0.2754
2026,6,TB,PIT,0.5545,0.4455
2026,6,LA,ARI,0.7558,0.2442
2026,6,KC,LAC,0.579,0.421
2026,6,LV,BUF,0.3769,0.6231
2026,6,GB,DAL,0.6312,0.3688
2026,6,SF,WAS,0.6757,0.3243
2026,7,CHI,NE,0.5451,0.4549
2026,7,NO,PIT,0.5016,0.4984
2026,7,ATL,SF,0.5147,0.4853
2026,7,BAL,CIN,0.6486,0.3514
2026,7,CAR,TB,0.5417,0.4583
2026,7,HOU,NYG,0.7446,0.2554
2026,7,MIN,IND,0.6642,0.3358
2026,7,NYJ,MIA,0.5021,0.4979
2026,7,TEN,CLE,0.5395,0.4605
2026,7,ARI,DEN,0.3997,0.6003
2026,7,DET,GB,0.6257,0.3743
2026,7,LV,LA,0.3936,0.6064
2026,7,SEA,KC,0.6902,0.3098
2026,7,PHI,DAL,0.6833,0.3167
2026,8,GB,CAR,0.676,0.324
2026,8,BUF,BAL,0.6514,0.3486
2026,8,CIN,TEN,0.6905,0.3095
2026,8,DAL,ARI,0.6802,0.3198
2026,8,DET,MIN,0.6048,0.3952
2026,8,JAX,IND,0.6437,0.3563
2026,8,NYJ,LV,0.5975,0.4025
2026,8,PIT,CLE,0.6888,0.3112
2026,8,TB,ATL,0.602,0.398
2026,8,LA,LAC,0.6354,0.3646
2026,8,DEN,KC,0.6539,0.3461
2026,8,MIA,NE,0.5106,0.4894
2026,8,WAS,PHI,0.476,0.524
2026,8,SEA,CHI,0.6997,0.3003
2026,9,BAL,JAX,0.6006,0.3994
2026,9,ATL,CIN,0.5957,0.4043
2026,9,CAR,DEN,0.4441,0.5559
2026,9,IND,DAL,0.5787,0.4213
2026,9,KC,NYJ,0.7156,0.2844
2026,9,MIA,DET,0.5067,0.4933
2026,9,NO,CLE,0.6052,0.3948
2026,9,PHI,NYG,0.7556,0.2444
2026,9,WAS,LA,0.4809,0.5191
2026,9,LAC,HOU,0.5577,0.4423
2026,9,SF,LV,0.7484,0.2516
2026,9,NE,GB,0.6221,0.3779
2026,9,SEA,ARI,0.7892,0.2108
2026,9,CHI,TB,0.6128,0.3872
2026,9,MIN,BUF,0.5449,0.4551
2026,10,NYG,WAS,0.5224,0.4776
2026,10,DET,NE,0.5962,0.4038
2026,10,ATL,KC,0.551,0.449
2026,10,CLE,HOU,0.4456,0.5544
2026,10,GB,MIN,0.571,0.429
2026,10,IND,MIA,0.5896,0.4104
2026,10,NO,CAR,0.5912,0.4088
2026,10,NYJ,BUF,0.3819,0.6181
2026,10,TEN,JAX,0.4356,0.5644
2026,10,ARI,LA,0.4057,0.5943
2026,10,LV,SEA,0.3493,0.6507
2026,10,DAL,SF,0.5224,0.4776
2026,10,CIN,PIT,0.5414,0.4586
2026,10,BAL,LAC,0.5926,0.4074
2026,11,HOU,IND,0.6829,0.3171
2026,11,BUF,MIA,0.7036,0.2964
2026,11,CAR,BAL,0.4953,0.5047
2026,11,CHI,NO,0.6619,0.3381
2026,11,DAL,TEN,0.6999,0.3001
2026,11,DET,TB,0.6611,0.3389
2026,11,KC,ARI,0.7095,0.2905
2026,11,NYG,JAX,0.4636,0.5364
2026,11,LAC,NYJ,0.7268,0.2732
2026,11,DEN,LV,0.7695,0.2305
2026,11,PHI,PIT,0.6469,0.3531
2026,11,SF,MIN,0.6004,0.3996
2026,11,WAS,CIN,0.585,0.415
2026,12,LA,GB,0.6425,0.3575
2026,12,DET,CHI,0.6418,0.3582
2026,12,DAL,PHI,0.4948,0.5052
2026,12,BUF,KC,0.664,0.336
2026,12,PIT,DEN,0.5344,0.4656
2026,12,CIN,NO,0.6303,0.3697
2026,12,CLE,LV,0.6338,0.3662
2026,12,HOU,BAL,0.6262,0.3738
2026,12,IND,NYG,0.6631,0.3369
2026,12,MIA,NYJ,0.677,0.323
2026,12,MIN,ATL,0.6585,0.3415
2026,12,JAX,TEN,0.7325,0.2675
2026,12,ARI,WAS,0.5172,0.4828
2026,12,SF,SEA,0.5233,0.4767
2026,12,LAC,NE,0.5697,0.4303
2026,12,TB,CAR,0.6414,0.3586
2026,13,LA,KC,0.6482,0.3518
2026,13,ATL,DET,0.5101,0.4899
2026,13,CHI,JAX,0.5762,0.4238
2026,13,CLE,CIN,0.5404,0.4596
2026,13,NO,GB,0.5018,0.4982
2026,13,NYG,SF,0.4329,0.5671
2026,13,TB,LAC,0.5471,0.4529
2026,13,TEN,WAS,0.4942,0.5058
