Equipo,Conferencia,Division,Victorias_Proyectadas,Derrotas_Proyectadas
SEA,NFC,NFC West,10.6,6.4
PHI,NFC,NFC East,10.2,6.8
DET,NFC,NFC North,9.9,7.1
BUF,AFC,AFC East,9.8,7.2
DEN,AFC,AFC West,9.8,7.2
LA,NFC,NFC West,9.7,7.3
HOU,AFC,AFC South,9.7,7.3
SF,NFC,NFC West,9.4,7.6
MIN,NFC,NFC North,9.3,7.7
BAL,AFC,AFC North,9.2,7.8
NE,AFC,AFC East,9.1,7.9
JAX,AFC,AFC South,9.0,8.0
PIT,AFC,AFC North,9.0,8.0
GB,NFC,NFC North,8.8,8.2
LAC,AFC,AFC West,8.7,8.3
KC,AFC,AFC West,8.6,8.4
TB,NFC,NFC South,8.5,8.5
ATL,NFC,NFC South,8.4,8.6
CHI,NFC,NFC North,8.4,8.6
CIN,AFC,AFC North,8.3,8.7
DAL,NFC,NFC East,8.3,8.7
IND,AFC,AFC South,8.1,8.9
WAS,NFC,NFC East,8.0,9.0
NO,NFC,NFC South,7.9,9.1
MIA,AFC,AFC East,7.8,9.2
CLE,AFC,AFC North,7.6,9.4
CAR,NFC,NFC South,7.4,9.6
NYG,NFC,NFC East,6.9,10.1
ARI,NFC,NFC West,6.5,10.5
NYJ,AFC,AFC East,6.5,10.5
TEN,AFC,AFC South,6.4,10.6
LV,AFC,AFC West,6.3,10.7
